Date,volatility,momentum,volume_avg,rsi_14,max_drawdown,vix,eur_usd,forward_return,ticker,label
2025-12-01,-0.13332838254897522,-0.35200147056375053,-0.8317326774161895,-0.31352468211141815,-1.8849519158491415,0.142134059779497,-1.598249124292195,-0.004964243396016643,ADS.DE,1
2025-12-02,-0.30350305762736296,-0.28202536438802983,-0.8317326774161895,-0.7062094223770107,-1.8849519158491415,-0.176929551951959,-1.5336196482015607,-0.003738355785144032,ADS.DE,1
2025-12-03,-0.3160401935341377,-0.015601474432233661,-0.8317326774161895,-0.7782284827541569,-1.8849519158491415,-0.4272720296580887,-1.3224204193296645,0.010328600290981926,ADS.DE,1
2025-12-04,-0.28561381880755354,0.012287296461096857,-0.8317326774161895,-0.18412721806625268,-1.8849519158491415,-0.574532338198613,-0.9162508371483655,0.01608417074967905,ADS.DE,1
2025-12-05,-0.23315997861504098,0.19872876875181492,-0.8317326774161895,0.32703275463448817,-1.8849519158491415,-0.7561532137518004,-1.1670584711287224,0.019476548318956066,ADS.DE,1
2025-12-08,-0.11868668095485904,-0.0902429524869708,-0.8317326774161895,0.6584068522746437,-1.8849519158491415,-0.14256898493929585,-1.1939200582666425,0.044589919702707315,ADS.DE,2
2025-12-09,-0.30230639145438815,-0.0007702567748106725,-0.8317326774161895,0.75397063367902,-1.8849519158491415,-0.010034566814539183,-1.1812105480560156,0.054096369515018505,ADS.DE,2
2025-12-10,-0.3395441159447999,-0.22804602134570895,-0.8317326774161895,0.9948299796504143,-1.8849519158491415,-0.5794406562521249,-1.3181797706194651,0.04429993448363567,ADS.DE,2
2025-12-11,-0.26264552503355443,-0.20230658331878418,-1.0222469389632614,1.2979272338117966,-1.8849519158491415,-1.0310386861083376,-0.5573750586177656,0.026179622841752348,ADS.DE,2
2025-12-12,-0.2744759342678714,0.027592275085537372,-1.0045421929397391,1.4249402660784014,-1.8849519158491415,-0.5941670147955085,-0.1589903623384749,-0.01432832177005594,ADS.DE,1
2025-12-15,-0.3088302965912036,0.25848188425523244,-1.0045421929397391,1.3334046537710933,-1.8849519158491415,-0.22110769132687788,-0.17768155005527758,-0.004179086258162323,ADS.DE,1
2025-12-16,-0.7820077442149668,0.4595549952629767,-1.0045421929397391,1.109703682561869,-1.8849519158491415,-0.23092526368913363,-0.0006437933444306489,-0.024621827826363574,ADS.DE,0
