,precision,recall,f1-score,support
Sell,0.36074270557029176,0.22006472491909385,0.2733668341708543,618.0
Hold,0.42998027613412226,0.8460543337645536,0.5701830863121186,773.0
Buy,0.0,0.0,0.0,507.0
accuracy,0.41622760800842995,0.41622760800842995,0.41622760800842995,0.41622760800842995
macro avg,0.2635743272348047,0.35537301956121586,0.28118330682765763,1898.0
weighted avg,0.2925783695964788,0.41622760800842995,0.3212287825273212,1898.0
