metric,value
accuracy,0.3918266370726544
precision_macro,0.39576380611233897
recall_macro,0.3848925095834059
f1_macro,0.36894248021921844
f1_weighted,0.38759321302780436
cohen_kappa,0.07727632315553223
mcc,0.0813347711853055
auc_roc_ovr_macro,0.5703538910604927
auc_pr_macro,0.3862073221306071
