feature,p01,p99,changed_fraction
volatility,0.09121606161140751,1.017011067583042,0.02000108358014881
momentum_1m,-0.22523496590720593,0.2720391902774553,0.02000108358014881
momentum_3m,-0.3307862532064543,0.5028010798833181,0.02000108358014881
momentum_6m,-0.38992611963782076,0.807081602256354,0.02000108358014881
return_1y,-0.4597612444147855,1.4446766104827549,0.02000108358014881
max_drawdown,-0.7333999331656977,-0.07861261802461139,0.019977606010257894
volume_avg,11.5258272953416,17.97408638910548,0.02000108358014881
rsi_14,24.844435624066982,79.48667822949496,0.02000108358014881
macd_signal,-10.309187948362469,13.055240946250812,0.02000108358014881
beta_market,-0.2053610778317125,2.5209781493024166,0.02000108358014881
pe_ratio,6.265801,293.83017,0.017412230007946256
ecb_rate,0.0,0.0,0.008518745936574442
us_10y_yield,-0.14699995517730668,0.14100003242492676,0.01958480820631366
vix,9.619999885559082,46.70000076293945,0.019417756266705194
eur_usd,0.9863878488540648,1.2363078594207764,0.019620927544607383
de_inflation,-0.5703423860099255,0.5665398375366171,0.01924889836018204
us_inflation,-0.45226366966111264,0.4532685994723895,0.019414144332875822
