feature,shap_sell,shap_hold,shap_buy,shap_mean
volatility,0.07776052763086798,0.08503340992763117,0.01011037327874505,0.05763477027908149
eur_usd,0.04625413594593142,0.010499771354101456,0.0407714281822485,0.03250844516076036
rsi_14,0.019591343625146,0.037180053655994506,0.01984708237259917,0.02553949321791317
vix,0.02530225066971249,0.01202939903646095,0.035305992953884355,0.02421254755335263
volume_avg,0.025855338822945072,0.013236682977596925,0.028243832892418247,0.022445284897653392
momentum,0.01319799257946978,0.030960841115918198,0.019131180905479064,0.02109667153362226
max_drawdown,0.016159761626090022,0.0043216684091014704,0.01566903699442082,0.01205015567653746
