,volatility,momentum,volume_avg,rsi_14,max_drawdown,vix,eur_usd
volatility,1.0,-0.12079890012508154,0.1389051699854492,-0.07278273762618447,-0.5965336866480636,0.2060418830434048,-0.01969938163353598
momentum,-0.12079890012508154,1.0,0.052281837608365425,0.7442963756636242,0.5803254752850384,-0.24177301492185238,0.11241225223953816
volume_avg,0.1389051699854492,0.052281837608365425,1.0,0.03889314995251487,-0.0408010919121154,0.04164442793798799,0.0021198691871380125
rsi_14,-0.07278273762618447,0.7442963756636242,0.03889314995251487,1.0,0.3705163359999673,-0.20942416070982592,0.10290397735868542
max_drawdown,-0.5965336866480636,0.5803254752850384,-0.0408010919121154,0.3705163359999673,1.0,-0.27266390134158175,0.07966844671641551
vix,0.2060418830434048,-0.24177301492185238,0.04164442793798799,-0.20942416070982592,-0.27266390134158175,1.0,-0.39932066048173837
eur_usd,-0.01969938163353598,0.11241225223953816,0.0021198691871380125,0.10290397735868542,0.07966844671641551,-0.39932066048173837,1.0
