feature,shap_importance,lewis_causal,lewis_no_graph,rank_shap,rank_lewis,rank_diff
volatility,0.05763477027908149,0.6378080050031256,0.3995478187055636,1,2,1
eur_usd,0.03250844516076036,0.64547915033623,0.39621212121212124,2,1,1
rsi_14,0.02553949321791317,0.3588875859912432,0.027966603702190562,3,4,1
vix,0.02421254755335263,0.158083177998959,0.1991837015405451,4,6,2
volume_avg,0.022445284897653392,0.30133759479993705,0.1826388888888889,5,5,0
momentum,0.02109667153362226,0.5637047336132706,0.05274274258948031,6,3,3
max_drawdown,0.01205015567653746,0.019846350832266324,0.019846350832266324,7,7,0
