,precision,recall,f1-score,support
Buy,0.3337226981125079,0.26577381391846194,0.2958974822657143,67723.0
Hold,0.4898032949054522,0.45982122924982366,0.47433895697751005,111987.0
Sell,0.27816290137817823,0.367841581684444,0.3167776208728398,64033.0
accuracy,0.38174224490549474,0.38174224490549474,0.38174224490549474,0.38174224490549474
macro avg,0.3672296314653794,0.36447887495090986,0.36233802003868804,243743.0
weighted avg,0.3908375171176162,0.38174224490549474,0.3833672489625217,243743.0
