Date,Open,High,Low,Close,Volume
2021-05-01,107.58446882021222,108.50556870042831,100.49199552608775,104.5632553100586,38132224
2021-06-01,107.13465287656778,113.40914446529048,105.39277772724674,111.29267120361328,40189472
2021-07-01,111.51744426385935,119.27159515550184,107.86512484747061,113.16566467285156,45787646
2021-08-01,114.25198311285644,120.3204451000218,111.94821447468584,119.36522674560547,28669200
2021-09-01,120.05823965928425,120.9947314105887,109.08256233568275,109.4571533203125,37915268
2021-10-01,108.1648034149394,118.63478207457837,105.61754456363421,117.36115264892578,41158808
2021-11-01,117.9417705478464,121.50044197331387,105.99213409423828,105.99213409423828,43237116
2021-12-01,106.87244641745674,117.30496446168156,106.10452342991495,116.96782684326172,36352836
2022-01-01,115.52561894610109,117.43606290889994,99.88621010775688,103.38868713378906,53690633
2022-02-01,104.68104847537067,106.62895306369872,88.47974520815755,94.88534545898438,66168904
2022-03-01,94.37963292807304,97.76973547380966,88.93861840599583,94.69804382324219,76044949
2022-04-01,94.67930959351611,96.51483247108861,88.0676804672242,91.36412811279297,48510582
2022-05-01,89.99685729797629,91.27048667152857,81.29684793306532,86.8970718383789,48511902
2022-06-01,90.62537365523127,91.99177697051498,81.09902693020553,83.64900970458984,46343430
2022-07-01,82.50391702334383,90.10574915087669,80.67562716865537,87.2574691772461,42036213
2022-08-01,87.30558476181729,90.9044240478669,80.71411814259174,81.73411560058594,40014118
2022-09-01,81.12789221272824,85.72747988884295,76.57642032727638,80.945068359375,46656922
2022-10-01,79.06866499684372,94.83044116316282,79.05904771157624,93.98365020751953,43720723
2022-11-01,94.20497528433123,104.03924440993153,91.31820387015217,100.51737976074219,45734157
2022-12-01,102.2686828319773,103.36565533242594,92.4921545691047,92.75196075439453,36630837
2023-01-01,93.50251995152462,105.29016933909288,92.80007638494068,104.28942108154297,35098795
2023-02-01,103.5965998159965,108.48486015851579,102.8845242974264,103.42339324951172,33536748
2023-03-01,103.71207719186143,112.04522785486749,101.4411496705611,111.6795654296875,42980612
2023-04-01,111.85277058657807,119.89724105765644,108.83128368166639,118.22291564941406,31185373
2023-05-01,118.22291579282081,120.37836978524258,114.47011138377536,117.5685806274414,36243414
2023-06-01,120.21877916118984,124.4857440435132,118.00700947197987,122.4697036743164,36553637
2023-07-01,121.804215961082,126.77581097451353,115.99096394835026,121.74549865722656,32300132
2023-08-01,121.56933335438133,127.46087979619243,117.47852796452727,126.07118225097656,39500947
2023-09-01,126.26691720290309,128.88972298566097,117.6938399450785,120.19921112060547,40445195
2023-10-01,120.47322581466479,126.9911073412247,118.51590286896237,124.03555297851562,34783259
2023-11-01,124.38787563545682,143.49134490368544,123.4092141316899,142.37567138671875,36697717
2023-12-01,143.29562138593033,145.9380045663485,132.56949923335537,136.5037078857422,38218215
2024-01-01,136.5037037708038,159.60012147099022,131.5516789000223,157.3687744140625,37096047
2024-02-01,158.50402744146305,171.32448448184715,156.42925485020453,169.19100952148438,31464382
2024-03-01,170.44369749601677,180.54347682981842,167.03794458280888,176.60926818847656,37535958
2024-04-01,177.1377193406009,178.03808606681363,160.32432309266656,166.07884216308594,35693452
2024-05-01,165.56994697571366,178.42957354379863,161.73359565123414,162.41867065429688,29825304
2024-06-01,168.2195536640097,189.2494760074503,165.46445681762341,187.82237243652344,35507243
2024-07-01,187.00972106159423,195.69126324103428,177.2578662647933,193.2731170654297,29901093
2024-08-01,194.24433448389067,197.4156675326753,175.13703585259094,195.9489288330078,27364041
2024-09-01,196.4840763255351,206.18639065754599,188.33770594323926,202.56907653808594,31432002
2024-10-01,205.0962411575435,222.58815025405897,196.74176018975317,212.8759307861328,29901543
2024-11-01,212.8759320906584,225.66037429579293,210.6956416144017,222.8854522705078,25594553
2024-12-01,221.94396848510124,241.21974240133687,221.29979689839575,234.183349609375,28632756
2025-01-01,234.18334438211633,267.4328230838577,232.25081454302762,266.09490966796875,29143209
2025-02-01,259.0584939080204,280.9605384000414,258.265672034913,262.9235534667969,27958923
2025-03-01,261.58568425048367,272.1402809992431,232.79588100814436,242.21078491210938,42519728
2025-04-01,244.53973668338958,254.54927197438994,208.31713031235032,253.01315307617188,52605030
2025-05-01,254.9456771028982,266.63996622897923,253.8059843036624,263.5181884765625,29426099
2025-06-01,263.20001220703125,273.54998779296875,247.75,258.1499938964844,35066852
2025-07-01,259.5,269.3500061035156,243.0,250.8000030517578,26201969
2025-08-01,248.89999389648438,257.70001220703125,230.3000030517578,231.6999969482422,27208694
2025-09-01,232.5,236.64999389648438,209.6999969482422,225.5500030517578,31991978
2025-10-01,225.0500030517578,244.3000030517578,223.3000030517578,224.4499969482422,31067065
2025-11-01,225.39999389648438,231.0500030517578,202.3000030517578,208.5500030517578,22890582
2025-12-01,208.60000610351562,214.75,201.85000610351562,208.35000610351562,19994236
2026-01-01,208.35000610351562,219.39999389648438,162.1199951171875,170.55999755859375,56687645
2026-02-01,171.3000030517578,178.94000244140625,159.60000610351562,170.9600067138672,71841527
2026-03-01,166.6199951171875,175.10000610351562,142.10000610351562,146.89999389648438,74476242
2026-04-01,149.4600067138672,151.1199951171875,144.33999633789062,146.66000366210938,4184215
