volatility,momentum,volume_avg,return_1y,max_drawdown,ticker,date,investment_decision,ecb_rate,eur_usd,de_inflation,vix
0.07481757584901166,-0.18015546548842798,54879967.666666664,-0.1689521182110736,-0.2720068129759734,SAP.DE,2022-05-01,0,0.0,1.05785,8.7,26.190000534057617
0.07095476210962497,-0.28485454537271593,56545066.666666664,-0.24838707886208,-0.2992179382118968,SAP.DE,2022-06-01,0,0.0,1.0565818181818,8.2,28.709999084472656
0.07262316622784024,-0.15602498110522023,54602663.333333336,-0.22894042614871724,-0.26898753048731966,SAP.DE,2022-07-01,0,0.5,1.0178904761905,8.5,21.329999923706055
0.06965644053811325,-0.138601274989121,50243532.333333336,-0.31526024932889385,-0.30356754551409854,SAP.DE,2022-08-01,0,0.5,1.0128434782609,8.8,25.8700008392334
0.0676607789731336,-0.14522977359001932,45345527.833333336,-0.2604862642234126,-0.31029078589987846,SAP.DE,2022-09-01,0,1.25,0.9903772727273,10.9,31.6200008392334
0.08228061798030398,0.02867123179343034,44547218.0,-0.19919284971013984,-0.19649998855276038,SAP.DE,2022-10-01,0,1.25,0.9825666666667,11.6,25.8799991607666
0.08130254454026338,0.15674070062678158,44084260.5,-0.05165245874404656,-0.14064078581679837,SAP.DE,2022-11-01,0,2.0,1.0201272727273,11.3,20.579999923706055
0.07669666954380956,0.10882317772741312,42465495.0,-0.20703014446285928,-0.10288095026905783,SAP.DE,2022-12-01,0,2.5,1.058880952381,9.6,21.670000076293945
0.07967469753063372,0.19519190809556797,41309258.666666664,0.008712113217844708,0.0,SAP.DE,2023-01-01,0,2.5,1.0769,9.2,19.399999618530273
0.07517081483881623,0.26536382622546295,40229697.0,0.08998278658550118,-0.008304081306138526,SAP.DE,2023-02-01,1,3.0,1.07151,9.3,20.700000762939453
0.077684971582691,0.37969573308480453,39616978.666666664,0.17932283414578265,0.0,SAP.DE,2023-03-01,1,3.5,1.0705826086957,7.8,18.700000762939453
0.07672262850880977,0.25790938517894646,37527753.666666664,0.2939751967365436,0.0,SAP.DE,2023-04-01,1,3.5,1.0967722222222,7.6,15.779999732971191
0.07393181536955154,0.16963435484774436,35945963.166666664,0.3529636631037334,-0.005534756255826611,SAP.DE,2023-05-01,1,3.75,1.08675,6.3,17.940000534057617
