Date,Open,High,Low,Close,Volume
2021-05-01,91.8839009334979,100.61727150514515,85.50816702025615,97.77342224121094,2169568
2021-06-01,98.04863080456019,106.41505862281689,96.250584102191,99.44303894042969,1906739
2021-07-01,100.45213834019926,110.92851492386791,94.63600875837145,106.15818786621094,2365046
2021-08-01,107.35075923403576,108.08465888759412,99.31459372239934,106.01139831542969,1890433
2021-09-01,106.76364686440358,109.03873028828137,99.75493217003432,105.42428588867188,10591016
2021-10-01,104.02989064384131,107.27738538075599,98.32384092525609,101.42455291748047,5890497
2021-11-01,101.79149786848528,107.88284149947783,88.65474380900919,90.6087417602539,9990191
2021-12-01,92.39761872191336,104.54361018010314,89.92988821228563,102.48870086669922,8146357
2022-01-01,104.41517502680412,111.05693962148071,97.46150062849834,102.92903137207031,9308419
2022-02-01,103.66293758710269,110.3964383151055,96.98447688716963,105.64446258544922,13036396
2022-03-01,105.13071973786853,105.69949230205268,82.85695201632296,101.1309814453125,18043759
2022-04-01,100.81908021585396,102.67216666503943,93.14985764590567,96.78264617919922,6748617
2022-05-01,97.33438963071919,103.47594634595366,95.52914858226315,101.18682098388672,5053702
2022-06-01,101.94985994019201,104.18315516538352,83.87879260282823,86.01903533935547,8723999
2022-07-01,85.78640020498337,99.86545395386419,82.74353343244334,97.68799591064453,8205582
2022-08-01,97.1296654965557,103.30844434867689,91.01602409530673,91.07186126708984,5883820
2022-09-01,90.07619033270527,93.81695449945919,80.79871410067274,82.72492980957031,8477099
2022-10-01,82.0270215521328,102.35929908731381,80.51954568249953,101.94985961914062,6832675
2022-11-01,102.80596702041275,107.58893761853932,99.77240744473998,101.68931579589844,10945927
2022-12-01,102.3965288238583,106.34201282838735,99.60491137642308,103.64344787597656,6161681
2023-01-01,104.36927485371373,113.52577671548916,103.94122059563085,106.8445053100586,6284410
2023-02-01,107.01199484347984,117.2479247850301,104.23898524464741,115.33101654052734,7602676
2023-03-01,115.66600689246272,116.76404325674774,106.15589665423045,114.79129791259766,7872957
2023-04-01,114.64241337667886,120.69091747900826,114.12131375660982,118.32735443115234,4846830
2023-05-01,120.01908878457813,123.8699702559547,113.3366780902984,115.65853118896484,5932380
2023-06-01,117.2064428360137,126.4561013997248,117.13093365566868,124.94596099853516,4806364
2023-07-01,125.4367518206715,130.92992599561651,121.66137913199029,126.49386596679688,5684794
2023-08-01,126.9846353577048,128.57029914256728,118.24465405441964,127.79634094238281,5052082
2023-09-01,127.15454080580605,129.4763867160078,115.09222740352166,119.84919738769531,4975606
2023-10-01,119.79256466022265,121.24609110094386,113.48769245700296,119.16963195800781,5821317
2023-11-01,119.56604816313241,129.1177432443916,118.92423454579955,128.5703125,6173281
2023-12-01,129.28761238190708,135.8945134981363,127.6642012411958,132.21353149414062,7104077
2024-01-01,132.21353079802742,142.8034505407217,128.92896115007082,139.5,6092487
2024-02-01,139.06582871940475,145.40845503934423,135.5358650009783,144.42686462402344,5964970
2024-03-01,145.5028663381467,163.11498332192804,143.6906891825347,161.170654296875,6327506
2024-04-01,161.17064885631362,161.54819475217803,145.10644903724528,145.95590209960938,7538947
2024-05-01,147.8818946190206,156.85083198383867,147.0368505323693,149.70640563964844,5381605
2024-06-01,151.05078935421585,151.4541018381046,122.51150418638063,123.16448211669922,7612370
2024-07-01,126.00689404934306,136.51227216022465,121.5896442782444,134.45729064941406,6740507
2024-08-01,133.1897195578279,136.87716041291023,123.2989153177938,133.30496215820312,5405811
2024-09-01,133.59302865271889,133.7466756809459,123.24129823046154,125.94927215576172,5182273
2024-10-01,126.42941909563986,138.89374595308269,119.78433107431579,134.51490783691406,6614550
2024-11-01,133.90033684269468,141.85138823535965,129.7327596671004,141.7361602783203,4619959
2024-12-01,141.15998789254755,154.60379626326636,141.06395482886424,148.32362365722656,4491320
2025-01-01,148.32362077691175,162.34358329971016,148.20837817221204,160.76873779296875,4674010
2025-02-01,157.27335879708374,166.5495905302355,153.45148005283235,159.09786987304688,5882174
2025-03-01,161.9594866933432,170.31385055778267,155.16075885361911,156.35150146484375,9195653
2025-04-01,157.08128984900765,161.30648063547892,124.66251357398227,141.25601196289062,14229850
2025-05-01,149.9679512612168,162.7123750966965,148.4951745242676,159.07952880859375,6331192
2025-06-01,158.9616952907612,175.4960800532205,156.2517915085514,174.003662109375,6375240
2025-07-01,174.51423334171972,183.54726116071794,168.85876098196712,172.86471557617188,4594802
2025-08-01,171.78467870990713,183.46870105622884,164.42079530293313,175.88880920410156,3987175
2025-09-01,176.28155169491436,194.74035660614837,175.69244998461974,192.42318725585938,3686281
2025-10-01,193.4443262220203,212.91443717524595,191.87335832062044,209.52703857421875,3626500
2025-11-01,209.03610897852565,210.6561724049483,196.1149589132507,200.9358367919922,3117009
2025-12-01,197.40118480547974,197.54845649128015,179.1485747735146,194.52435302734375,4837492
2026-01-01,194.52434377597382,217.23456552165285,187.92630289242842,189.9489288330078,5422422
2026-02-01,186.45353037323648,197.5484515419917,176.94921828057613,180.93553161621094,5479423
2026-03-01,175.2604339729472,178.8147304167468,154.62191816955948,157.86203002929688,8380517
2026-04-01,168.3000030517578,181.97999572753906,160.8000030517578,165.9600067138672,5334409
