Date,Adj Close,Close,High,Low,Open,Volume
2025-07-01,178.0276641845703,178.8000030517578,178.8000030517578,175.0,177.39999389648438,1477
2025-07-02,182.2095184326172,183.0,183.39999389648438,177.39999389648438,178.39999389648438,3299
2025-07-03,178.0276641845703,178.8000030517578,183.39999389648438,178.0,182.8000030517578,1875
2025-07-04,177.4302520751953,178.1999969482422,180.0,175.8000030517578,178.0,1729
2025-07-07,174.64234924316406,175.39999389648438,178.8000030517578,175.0,178.8000030517578,1420
2025-07-08,178.226806640625,179.0,180.1999969482422,174.1999969482422,174.1999969482422,3395
2025-07-09,174.84149169921875,175.60000610351562,182.0,175.0,182.0,3720
2025-07-10,181.41297912597656,182.1999969482422,182.1999969482422,174.0,174.0,3332
2025-07-11,181.41297912597656,182.1999969482422,182.1999969482422,182.1999969482422,182.1999969482422,0
2025-07-14,169.86309814453125,170.60000610351562,177.60000610351562,170.60000610351562,174.1999969482422,2456
2025-07-15,171.4561767578125,172.1999969482422,176.8000030517578,171.39999389648438,173.0,4512
2025-07-16,171.4561767578125,172.1999969482422,172.1999969482422,172.1999969482422,172.1999969482422,0
2025-07-17,171.65530395507812,172.39999389648438,174.1999969482422,170.8000030517578,174.1999969482422,2370
2025-07-18,168.26998901367188,169.0,173.60000610351562,168.8000030517578,173.60000610351562,1819
2025-07-21,165.48208618164062,166.1999969482422,171.0,164.39999389648438,169.1999969482422,3734
2025-07-22,156.7200927734375,157.39999389648438,166.0,148.8000030517578,166.0,52338
2025-07-23,156.7200927734375,157.39999389648438,157.39999389648438,157.39999389648438,157.39999389648438,0
2025-07-24,160.1054229736328,160.8000030517578,162.1999969482422,157.39999389648438,161.8000030517578,5161
2025-07-25,158.5123291015625,159.1999969482422,160.60000610351562,156.60000610351562,160.60000610351562,7547
2025-07-28,157.7157745361328,158.39999389648438,165.60000610351562,158.0,162.1999969482422,4535
2025-07-29,159.90628051757812,160.60000610351562,163.8000030517578,156.0,159.0,6215
2025-07-30,158.71145629882812,159.39999389648438,162.1999969482422,159.1999969482422,161.8000030517578,3215
2025-07-31,154.72872924804688,155.39999389648438,160.8000030517578,155.39999389648438,160.8000030517578,7519
2025-08-01,148.95379638671875,149.60000610351562,156.0,149.60000610351562,155.39999389648438,7555
2025-08-04,148.55552673339844,149.1999969482422,152.8000030517578,148.8000030517578,152.8000030517578,2801
2025-08-05,146.76329040527344,147.39999389648438,150.60000610351562,146.39999389648438,150.60000610351562,4186
2025-08-06,145.96676635742188,146.60000610351562,150.1999969482422,145.39999389648438,148.60000610351562,4283
2025-08-07,145.96676635742188,146.60000610351562,146.60000610351562,146.60000610351562,146.60000610351562,0
2025-08-08,148.35638427734375,149.0,149.60000610351562,146.8000030517578,146.8000030517578,1803
2025-08-11,148.95379638671875,149.60000610351562,152.0,149.1999969482422,149.60000610351562,7828
2025-08-12,162.4950408935547,163.1999969482422,164.0,151.8000030517578,153.60000610351562,0
2025-08-13,161.10110473632812,161.8000030517578,164.0,160.39999389648438,162.1999969482422,5121
