Date,Adj Close,Close,High,Low,Open,Volume
2025-07-01,1702.5,1702.5,1795.0,1702.5,1795.0,261329
2025-07-02,1729.5,1729.5,1735.0,1664.5,1704.5,264124
2025-07-03,1698.5,1698.5,1738.5,1679.5,1722.5,194201
2025-07-04,1755.0,1755.0,1761.0,1704.0,1705.0,247399
2025-07-07,1803.0,1803.0,1803.0,1743.0,1760.0,238635
2025-07-08,1830.0,1830.0,1842.5,1804.0,1806.0,257940
2025-07-09,1860.5,1860.5,1871.0,1825.0,1830.5,305488
2025-07-10,1845.5,1845.5,1864.0,1826.0,1853.0,278900
2025-07-11,1840.0,1840.0,1871.5,1795.0,1838.0,260801
2025-07-14,1880.0,1880.0,1880.0,1825.0,1831.0,221581
2025-07-15,1828.0,1828.0,1888.5,1827.0,1888.0,259473
2025-07-16,1828.0,1828.0,1828.0,1828.0,1828.0,0
2025-07-17,1841.0,1841.0,1851.0,1821.0,1821.0,181547
2025-07-18,1835.5,1835.5,1864.5,1834.5,1841.0,207207
2025-07-21,1815.0,1815.0,1840.5,1793.5,1839.0,202040
2025-07-22,1754.0,1754.0,1812.5,1724.5,1801.0,264315
2025-07-23,1754.0,1754.0,1754.0,1754.0,1754.0,0
2025-07-24,1745.5,1745.5,1811.5,1735.0,1780.5,158024
2025-07-25,1734.0,1734.0,1765.5,1720.0,1750.5,134945
2025-07-28,1677.0,1677.0,1715.5,1659.0,1710.0,296288
2025-07-29,1735.0,1735.0,1740.5,1679.5,1689.5,221191
2025-07-30,1732.5,1732.5,1755.5,1711.5,1747.0,141906
2025-07-31,1735.5,1735.5,1758.0,1727.0,1736.5,161922
2025-08-01,1707.5,1707.5,1724.5,1684.0,1721.0,149293
2025-08-04,1765.0,1765.0,1765.0,1703.0,1707.5,167905
2025-08-05,1769.0,1769.0,1785.0,1751.0,1776.0,130408
2025-08-06,1783.5,1783.5,1791.0,1737.0,1787.0,223398
2025-08-07,1641.0,1641.0,1732.0,1641.0,1707.0,651875
2025-08-08,1620.5,1620.5,1706.5,1560.0,1660.0,532717
2025-08-11,1545.5,1545.5,1578.5,1525.5,1572.0,456198
2025-08-12,1563.0,1563.0,1573.0,1542.0,1545.0,244526
2025-08-13,1597.0,1597.0,1615.0,1571.5,1600.0,231464
2025-08-14,1641.0,1641.0,1656.0,1586.5,1600.0,222315
2025-08-15,1621.0,1621.0,1647.0,1563.5,1636.5,299004
2025-08-18,1648.0,1648.0,1676.5,1625.0,1640.0,222319
2025-08-19,1568.0,1568.0,1635.5,1545.0,1629.5,310427
2025-08-20,1557.5,1557.5,1569.0,1481.0,1500.0,347595
2025-08-21,1608.5,1608.5,1617.0,1571.0,1580.0,211643
2025-08-22,1622.5,1622.5,1636.0,1612.5,1620.0,120002
2025-08-25,1650.0,1650.0,1654.5,1621.5,1626.5,122242
2025-08-26,1635.5,1635.5,1654.5,1619.0,1650.0,256800
2025-08-27,1635.5,1635.5,1645.5,1617.0,1640.0,107087
2025-08-28,1637.5,1637.5,1652.0,1618.5,1649.0,213768
2025-08-29,1637.5,1637.5,1637.5,1637.5,1637.5,0
2025-09-01,1748.5,1748.5,1751.5,1698.0,1699.5,173814
2025-09-02,1749.0,1749.0,1775.0,1721.5,1768.0,244376
2025-09-03,1754.0,1754.0,1782.0,1749.5,1760.0,170124
2025-09-04,1725.0,1725.0,1760.0,1703.5,1756.0,142170
2025-09-05,1744.5,1744.5,1761.5,1725.0,1730.0,153630
2025-09-08,1791.0,1791.0,1791.0,1756.0,1760.0,176892
2025-09-09,1779.0,1779.0,1794.0,1724.0,1793.0,222457
2025-09-10,1779.0,1779.0,1779.0,1779.0,1779.0,0
2025-09-11,1880.5,1880.5,1880.5,1816.0,1849.0,275105
2025-09-12,1896.5,1896.5,1897.0,1872.0,1878.5,231278
2025-09-15,1950.0,1950.0,1950.0,1905.0,1905.0,250793
2025-09-16,1901.0,1901.0,1983.0,1901.0,1967.0,302885
2025-09-17,1888.5,1888.5,1953.0,1886.0,1916.5,206992
2025-09-18,1919.5,1919.5,1926.0,1886.5,1918.0,182035
2025-09-19,1928.0,1928.0,1939.0,1906.0,1938.5,385437
2025-09-22,1928.0,1928.0,1928.0,1928.0,1928.0,0
2025-09-23,1912.0,1912.0,1943.5,1904.0,1941.0,173728
2025-09-24,1978.5,1978.5,1978.5,1933.0,1940.0,332523
2025-09-25,1978.5,1978.5,1978.5,1944.0,1971.0,182172
2025-09-26,1960.5,1960.5,1984.0,1955.0,1979.0,179458
2025-09-29,1988.5,1988.5,2001.0,1966.0,1979.0,274120
2025-09-30,1988.5,1988.5,1988.5,1988.5,1988.5,0
2025-10-01,1951.0,1951.0,1968.5,1918.5,1963.0,273662
2025-10-02,1986.0,1986.0,1986.0,1958.5,1973.5,209433
2025-10-03,1962.5,1962.5,2008.0,1962.5,1993.5,218385
2025-10-06,1962.5,1962.5,1962.5,1962.5,1962.5,0
2025-10-07,1884.5,1884.5,1893.5,1837.0,1891.0,290792
2025-10-08,1884.5,1884.5,1884.5,1884.5,1884.5,0
2025-10-09,1884.5,1884.5,1884.5,1884.5,1884.5,0
2025-10-10,1882.0,1882.0,1915.5,1852.5,1907.0,225157
2025-10-13,1879.5,1879.5,1900.0,1848.0,1900.0,129585
2025-10-14,1838.5,1838.5,1863.0,1792.0,1855.0,220876
2025-10-15,1745.0,1745.0,1832.0,1732.5,1830.0,264985
2025-10-16,1774.5,1774.5,1779.0,1678.0,1706.0,304998
2025-10-17,1661.5,1661.5,1719.5,1640.5,1715.0,390786
2025-10-20,1759.5,1759.5,1761.5,1704.0,1720.0,274797
2025-10-21,1780.5,1780.5,1787.5,1752.5,1780.0,161522
2025-10-22,1750.5,1750.5,1840.0,1750.5,1810.0,213126
2025-10-23,1766.0,1766.0,1800.5,1759.5,1792.0,131115
2025-10-24,1764.0,1764.0,1793.5,1750.5,1788.0,121037
2025-10-27,1731.5,1731.5,1775.0,1718.0,1773.5,132752
2025-10-28,1745.0,1745.0,1753.5,1686.0,1711.5,145447
2025-10-29,1731.0,1731.0,1752.5,1723.5,1742.5,85869
2025-10-30,1705.0,1705.0,1734.5,1699.0,1729.5,96520
2025-10-31,1701.5,1701.5,1725.5,1700.0,1708.0,96868
2025-11-03,1773.5,1773.5,1774.5,1696.5,1715.0,176493
