Date,volatility,momentum,volume_avg,rsi_14,max_drawdown,vix,eur_usd
2025-07-01,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.829999923706055,1.178717017173767
2025-07-02,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.639999389648438,1.180553913116455
2025-07-03,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.3799991607666,1.18002450466156
2025-07-07,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,17.790000915527344,1.178078293800354
2025-07-08,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.809999465942383,1.1736538410186768
2025-07-09,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,15.9399995803833,1.1724566221237183
2025-07-10,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,15.779999732971191,1.17311692237854
2025-07-11,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.399999618530273,1.1702749729156494
2025-07-14,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,17.200000762939453,1.1682106256484985
2025-07-15,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,17.3799991607666,1.1666297912597656
2025-07-16,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,17.15999984741211,1.1607391834259033
2025-07-17,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.520000457763672,1.1635754108428955
2025-07-18,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.40999984741211,1.161548137664795
2025-07-21,0.16609811618479042,-0.06667907157055364,15.99064925002021,27.90864337370394,-0.06441584587702932,16.649999618530273,1.1630746126174927
2025-07-22,0.16609811618479042,-0.06667907157055364,15.99064925002021,41.61852362110968,-0.06441584587702932,16.5,1.1694538593292236
2025-07-23,0.16609811618479042,-0.06667907157055364,15.99064925002021,41.57045507605157,-0.06441584587702932,15.369999885559082,1.1739156246185303
2025-07-24,0.16609811618479042,-0.06667907157055364,15.99064925002021,44.221964417744516,-0.06441584587702932,15.390000343322754,1.1774264574050903
2025-07-25,0.16609811618479042,-0.06667907157055364,15.99064925002021,43.77124974187099,-0.06441584587702932,14.930000305175781,1.1756131649017334
2025-07-28,0.16609811618479042,-0.06667907157055364,15.99064925002021,47.598528994480915,-0.06441584587702932,15.029999732971191,1.1756821870803833
2025-07-29,0.16609811618479042,-0.06667907157055364,15.99064925002021,47.22051851838043,-0.06441584587702932,15.979999542236328,1.1596757173538208
2025-07-30,0.16609811618479042,-0.06667907157055364,15.976336906299768,35.33718059671135,-0.06441584587702932,15.479999542236328,1.1550945043563843
2025-07-31,0.17222529890897495,-0.06667907157055364,15.993455018138782,33.63185363724355,-0.06441584587702932,16.719999313354492,1.1429355144500732
2025-08-01,0.17297842563358184,-0.06544667029457318,16.002445825889474,40.84755854963416,-0.06441584587702932,20.3799991607666,1.142374038696289
2025-08-04,0.17351928629231125,-0.0626127414634794,16.004989212952555,44.007497949779356,-0.06441584587702932,17.520000457763672,1.158668041229248
2025-08-05,0.1663123498570321,-0.06224302487952682,15.974493258486133,39.42181024163423,-0.06441584587702932,17.850000381469727,1.1584129333496094
2025-08-06,0.17802230214820272,-0.031857614787138,15.90645889184995,41.19900156188419,-0.06441584587702932,16.770000457763672,1.1579166650772095
2025-08-07,0.17701136365090597,-0.02558404437525419,15.903479512689131,44.90184235829593,-0.06441584587702932,16.56999969482422,1.1663167476654053
2025-08-08,0.17482874958983108,-0.03142160902091029,15.889483549341888,45.17152559723985,-0.06441584587702932,15.149999618530273,1.1676650047302246
2025-08-11,0.16164202729305707,-0.013180562139413321,15.862993185687383,38.00283033035502,-0.06441584587702932,16.25,1.1647952795028687
2025-08-12,0.15923130713074815,0.008649856130136468,15.848664806927138,38.59898260125997,-0.06441584587702932,14.729999542236328,1.1618449687957764
2025-08-13,0.1577094803283047,0.017880607265454485,15.831054839521405,37.66330116954531,-0.06441584587702932,14.489999771118164,1.1677058935165405
2025-08-14,0.15627043219060652,6.51126384128009e-05,15.817800500352929,34.738966487864474,-0.06441584587702932,14.829999923706055,1.171289324760437
2025-08-15,0.15674660590711356,-0.008096610630832557,15.816343862625414,40.43145116761101,-0.06441584587702932,15.09000015258789,1.1651345491409302
2025-08-18,0.15996704635140446,0.003997389379686522,15.82941588097183,47.07813644346883,-0.06441584587702932,14.989999771118164,1.1706587076187134
2025-08-19,0.15367303517527237,0.021737696856884314,15.827285491138614,69.4640051651781,-0.06441584587702932,15.569999694824219,1.1668338775634766
2025-08-20,0.15563339476624036,0.0075163411291425675,15.847382914775988,85.0931699093594,-0.06441584587702932,15.6899995803833,1.164252758026123
2025-08-21,0.15630678784603522,0.0028430436676314397,15.843377318274396,79.97034270028581,-0.06441584587702932,16.600000381469727,1.165175199508667
2025-08-22,0.15586225056492986,-0.0008815527473122753,15.84336020804927,79.44902448224617,-0.06441584587702932,14.220000267028809,1.16130530834198
2025-08-25,0.16406085072109586,-0.013581864269266442,15.822126804508386,67.96178498709806,-0.06441584587702932,14.789999961853027,1.1709601879119873
2025-08-26,0.16374564843718162,-0.007256058718220881,15.787046821044115,61.49299482012538,-0.06441584587702932,14.619999885559082,1.1618449687957764
2025-08-27,0.13852063714794555,0.0022348898675152995,15.761580122883633,62.491019384945965,-0.06441584587702932,14.850000381469727,1.1639411449432373
2025-08-28,0.12834049905964764,0.018118713534808872,15.717874170971204,57.048742658345034,-0.06137075453903816,14.430000305175781,1.1647952795028687
2025-08-29,0.13082807999933008,0.043663135589353086,15.693129018218018,56.82118121168884,-0.05226373137305468,15.359999656677246,1.1681560277938843
2025-09-02,0.13145591470662185,0.04872228273519341,15.683549663385325,59.09663091289386,-0.05226373137305468,17.170000076293945,1.1715912818908691
