Date,volatility,momentum,volume_avg,rsi_14,max_drawdown,vix,eur_usd,forward_return,ticker,label
2025-07-01,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.829999923706055,1.178717017173767,0.013579064467496682,ADS.DE,1
2025-07-02,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.639999389648438,1.180553913116455,0.019203072210258743,ADS.DE,1
2025-07-03,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.3799991607666,1.18002450466156,0.022650587702371938,ADS.DE,2
2025-07-04,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.3799991607666,1.18002450466156,0.014125639811867208,ADS.DE,1
2025-07-07,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,17.790000915527344,1.178078293800354,-0.012900128566049274,ADS.DE,1
2025-07-08,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.809999465942383,1.1736538410186768,-0.006220110295491965,ADS.DE,1
2025-07-09,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,15.9399995803833,1.1724566221237183,-0.02166748015728559,ADS.DE,0
2025-07-10,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,15.779999732971191,1.17311692237854,-0.026861437465677596,ADS.DE,0
2025-07-11,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.399999618530273,1.1702749729156494,-0.011527348374942625,ADS.DE,1
2025-07-14,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,17.200000762939453,1.1682106256484985,-0.0038722315010821795,ADS.DE,1
2025-07-15,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,17.3799991607666,1.1666297912597656,-0.02262877716562217,ADS.DE,0
2025-07-16,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,17.15999984741211,1.1607391834259033,-0.02262877716562217,ADS.DE,0
2025-07-17,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.520000457763672,1.1635754108428955,-0.03874092009685226,ADS.DE,0
2025-07-18,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.40999984741211,1.161548137664795,-0.03328477163235455,ADS.DE,0
2025-07-21,0.16788660067528233,-0.15179439144033724,13.102901212144372,49.065434554749835,-0.23232801018268912,16.649999618530273,1.1630746126174927,-0.044703580232350326,ADS.DE,0
2025-07-22,0.16788660067528233,-0.15179439144033724,13.102901212144372,38.00903790188111,-0.23232801018268912,16.5,1.1694538593292236,-0.026108389417526134,ADS.DE,0
2025-07-23,0.16788660067528233,-0.15179439144033724,13.102901212144372,39.43661366443253,-0.23232801018268912,15.369999885559082,1.1739156246185303,-0.13842367538677647,ADS.DE,0
2025-07-24,0.16788660067528233,-0.15179439144033724,13.102901212144372,35.59320828449118,-0.23232801018268912,15.390000343322754,1.1774264574050903,-0.1534004884042428,ADS.DE,0
2025-07-25,0.16788660067528233,-0.15179439144033724,13.102901212144372,24.18949524960503,-0.23232801018268912,14.930000305175781,1.1756131649017334,-0.15933650381753506,ADS.DE,0
2025-07-28,0.16788660067528233,-0.15179439144033724,13.102901212144372,21.94568417447789,-0.23232801018268912,15.029999732971191,1.1756821870803833,-0.15157681651376576,ADS.DE,0
2025-07-29,0.16788660067528233,-0.15179439144033724,13.102901212144372,13.31650007207682,-0.23232801018268912,15.979999542236328,1.1596757173538208,-0.15907940027169443,ADS.DE,0
2025-07-30,0.45485496385771507,-0.15179439144033724,13.102901212144372,6.220612923919816,-0.23232801018268912,15.479999542236328,1.1550945043563843,-0.06861063704268777,ADS.DE,0
2025-07-31,0.46758347783647547,-0.19323091411572757,13.102901212144372,5.830542320439619,-0.23232801018268912,16.719999313354492,1.1429355144500732,-0.008925914744184915,ADS.DE,1
2025-08-01,0.4680309435136339,-0.19397590361445782,13.102901212144372,5.935007415811739,-0.23232801018268912,20.3799991607666,1.142374038696289,0.001494768310911887,ADS.DE,1
