Date,Adj Close,Close,High,Low,Open,Volume
2025-07-01,292.41259765625,297.489990234375,299.6499938964844,292.3500061035156,292.5,5121900
2025-07-02,289.6014099121094,294.6300048828125,298.0799865722656,292.6000061035156,298.0799865722656,4021500
2025-07-03,289.060791015625,294.0799865722656,294.8299865722656,292.6099853515625,294.6700134277344,1678600
2025-07-07,288.52020263671875,293.5299987792969,295.67999267578125,292.489990234375,294.1199951171875,3404300
2025-07-08,286.69195556640625,291.6700134277344,293.0199890136719,290.260009765625,293.010009765625,3123600
2025-07-09,288.0188903808594,293.0199890136719,293.82000732421875,291.3399963378906,292.25,3265800
2025-07-10,293.2972412109375,298.3900146484375,300.7799987792969,295.0199890136719,296.29998779296875,5366800
2025-07-11,294.7912902832031,299.9100036621094,302.739990234375,297.2900085449219,298.1400146484375,4524100
2025-07-14,296.7276916503906,301.8800048828125,302.07000732421875,294.8299865722656,299.17999267578125,5707500
2025-07-15,294.5062561035156,299.6199951171875,302.7900085449219,299.239990234375,301.29998779296875,2937600
2025-07-16,293.7985534667969,298.8999938964844,300.4800109863281,296.2099914550781,299.7799987792969,2804700
2025-07-17,295.2434387207031,300.3699951171875,302.45001220703125,298.4200134277344,299.7699890136719,3134300
2025-07-18,291.9997863769531,297.07000732421875,300.3999938964844,296.42999267578125,299.739990234375,3481300
2025-07-21,290.6924743652344,295.739990234375,298.79998779296875,295.2799987792969,298.1099853515625,3037500
2025-07-22,294.06396484375,299.1700134277344,300.1000061035156,295.04998779296875,295.8599853515625,2672000
2025-07-23,293.0318603515625,298.1199951171875,299.8800048828125,296.9200134277344,299.489990234375,2467600
2025-07-24,289.4540100097656,294.4800109863281,297.4599914550781,294.4100036621094,296.9100036621094,4426000
2025-07-25,293.37591552734375,298.4700012207031,298.6400146484375,294.8999938964844,296.80999755859375,3401000
2025-07-28,294.1130676269531,299.2200012207031,299.9100036621094,294.989990234375,297.05999755859375,3070500
2025-07-29,297.5042419433594,302.6700134277344,302.8299865722656,298.29998779296875,298.95001220703125,3147700
2025-07-30,298.42816162109375,303.6099853515625,305.42999267578125,301.0799865722656,302.57000732421875,2805900
2025-07-31,294.9485778808594,300.07000732421875,303.4700012207031,300.0,301.0199890136719,3639600
2025-08-01,297.720458984375,302.8900146484375,303.70001220703125,301.3800048828125,303.5,3344800
2025-08-04,299.0375671386719,304.2300109863281,306.3500061035156,300.5299987792969,300.5299987792969,4734500
2025-08-05,293.6707458496094,298.7699890136719,304.6000061035156,298.3699951171875,303.0,4222900
2025-08-06,302.4090270996094,307.6600036621094,310.3999938964844,301.739990234375,307.0,6474300
2025-08-07,302.6547546386719,307.9100036621094,310.1700134277344,304.3500061035156,309.1600036621094,3603300
2025-08-08,300.23675537109375,305.45001220703125,308.54998779296875,303.8900146484375,307.0,2622000
2025-08-11,299.16534423828125,304.3599853515625,307.29998779296875,303.7799987792969,305.5,2649000
2025-08-12,296.4917907714844,301.6400146484375,305.5,299.8900146484375,305.1700134277344,3438300
2025-08-13,299.8632507324219,305.07000732421875,305.30999755859375,301.3999938964844,301.70001220703125,2999100
2025-08-14,303.677001953125,308.95001220703125,309.2900085449219,302.70001220703125,305.5,4699400
