Date,Adj Close,Close,High,Low,Open,Volume
2025-07-01,183.99575805664062,189.99000549316406,191.75999450683594,184.38999938964844,185.00999450683594,5937600
2025-07-02,184.73178100585938,190.75,192.58999633789062,189.52999877929688,189.6999969482422,4658200
2025-07-03,183.30816650390625,189.27999877929688,191.47000122070312,188.8699951171875,191.14999389648438,3706200
2025-07-07,181.71023559570312,187.6300048828125,191.38999938964844,186.8300018310547,189.44000244140625,11049100
2025-07-08,183.78271484375,189.77000427246094,193.0,186.6699981689453,186.7899932861328,7106900
2025-07-09,184.60589599609375,190.6199951171875,191.08999633789062,188.32000732421875,188.5,5594100
2025-07-10,188.8477020263672,195.0,197.5,189.55999755859375,190.5,6049400
2025-07-11,186.37815856933594,192.4499969482422,194.0,191.16000366210938,193.88999938964844,4991000
2025-07-14,185.4774932861328,191.52000427246094,192.6699981689453,190.0399932861328,191.72000122070312,4072800
2025-07-15,182.06842041015625,186.38999938964844,190.6699981689453,185.00999450683594,190.2100067138672,6729200
2025-07-16,186.16127014160156,190.5800018310547,191.38999938964844,186.5,186.9199981689453,6202600
2025-07-17,186.9622344970703,191.39999389648438,192.1199951171875,188.25999450683594,189.0,4853100
2025-07-18,184.8718719482422,189.25999450683594,192.33999633789062,188.57000732421875,191.50999450683594,5332000
2025-07-21,180.5641326904297,184.85000610351562,189.89999389648438,184.6300048828125,189.6199951171875,4954800
2025-07-22,182.771728515625,187.11000061035156,188.1999969482422,184.89999389648438,184.94000244140625,4432100
2025-07-23,186.13197326660156,190.5500030517578,190.8000030517578,186.77000427246094,187.0500030517578,4344500
2025-07-24,186.40548706054688,190.8300018310547,192.24000549316406,189.99000549316406,190.75999450683594,3462700
2025-07-25,185.86822509765625,190.27999877929688,191.39999389648438,188.52999877929688,191.39999389648438,3786800
2025-07-28,184.14903259277344,188.52000427246094,191.2100067138672,187.63999938964844,191.2100067138672,3776900
2025-07-29,186.78643798828125,191.22000122070312,192.49000549316406,187.86000061035156,189.14999389648438,6715500
2025-07-30,184.92071533203125,189.30999755859375,192.6999969482422,188.00999450683594,191.77000427246094,5008400
2025-07-31,184.637451171875,189.02000427246094,198.8300018310547,187.6199951171875,197.05999755859375,10347900
2025-08-01,190.6936798095703,195.22000122070312,197.05999755859375,189.7899932861328,189.9199981689453,8082000
2025-08-04,192.61801147460938,197.19000244140625,197.3699951171875,193.72000122070312,194.80999755859375,4217500
2025-08-05,193.9464874267578,198.5500030517578,199.88999938964844,196.47999572753906,197.5500030517578,4153400
