feature,lewis_nesuf,lewis_normalized,shap_importance,shap_normalized,lewis_rank,shap_rank
volatility,0.0166666666666666,0.0166666666666666,1.0992873588324639,0.20348883494683997,8,3
momentum,0.1032085561497326,0.1032085561497326,0.7105200865649152,0.1315242129000571,5,4
volume_avg,0.28125,0.28125,0.11581408413654683,0.021438318981864057,2,9
return_1y,1.0,1.0,5.402199875583567,1.0,1,1
max_drawdown,0.0874999999999999,0.0874999999999999,1.2423995007926,0.22998029125280953,6,2
ecb_rate,0.1111111111111111,0.1111111111111111,0.19853122670111478,0.036750070577436504,4,5
eur_usd,0.1452835648148147,0.1452835648148147,0.18040412017459737,0.03339456597856987,3,6
de_inflation,0.0746527777777777,0.0746527777777777,0.17714172682367163,0.032790665081516644,7,7
vix,0.0078125,0.0078125,0.144745202739697,0.026793751818385104,9,8
