MAE_mean,MAE_std_error,SPR_mean,SPR_std_error,n_trials,method,prior
0.07348496016782588,0.005712619745853435,0.3931836314569056,0.03609022253539559,100,DirectLiNGAM,0
0.08158244049000261,0.006258135801258504,0.3979347721653128,0.03745432613115287,100,DirectLiNGAM,a
0.07677065069546511,0.006083460483495426,0.41426072717179385,0.036790974600882445,100,DirectLiNGAM,b
0.14899182070494424,0.010234369843548554,0.41733727541325416,0.030495971695567937,100,PC,0
0.1052892520604904,0.009537017395681892,0.6495175798086925,0.023431175252381517,100,PC,a
0.1163345409220572,0.010477198682847156,0.6422550001308117,0.023021103191259728,100,PC,b
0.21921972543216842,0.0027358992639501143,0.4792223730503148,0.027581546413371582,100,NOTEARS,0
0.27840696528216996,0.01300054140928924,0.564759920961406,0.016432780691210867,100,NOTEARS,a
0.41227641300950146,0.0010651429794172394,0.5489462486891036,0.009712968646041261,100,No graph,-
